date_time,lat,long,depth,magnitude,location 1,location 2,date_time_formatted,date,time,date_f
27 April 2021 - 11:11 PM,13.95,120.5,103,1.8,Lian ,Batangas,2021-04-27T11:11:00,2021-04-27,11:11:00,2021-04-27
27 April 2021 - 09:39 PM,16.63,120.97,23,1.9,Ambaguio ,Nueva Vizcaya,2021-04-27T09:39:00,2021-04-27,09:39:00,2021-04-27
29 November 2021 - 03:48 AM,13.72,120.04,31,2.0,Lubang ,Occidental Mindoro,2021-11-29T03:48:00,2021-11-29,03:48:00,2021-11-29
29 November 2021 - 01:12 AM,8.81,126.27,25,1.9,Marihatag ,Surigao Del Sur,2021-11-29T01:12:00,2021-11-29,01:12:00,2021-11-29
28 November 2021 - 09:46 PM,13.75,120.61,145,2.0,Calatagan ,Batangas,2021-11-28T09:46:00,2021-11-28,09:46:00,2021-11-28
29 December 2021 - 01:03 PM,13.96,120.57,109,2.0,Lian ,Batangas,2021-12-29T01:03:00,2021-12-29,01:03:00,2021-12-29
29 December 2021 - 03:28 AM,15.42,121.37,9,1.7,Dingalan ,Aurora,2021-12-29T03:28:00,2021-12-29,03:28:00,2021-12-29
28 December 2021 - 11:24 PM,13.74,120.54,99,1.9,Calatagan ,Batangas,2021-12-28T11:24:00,2021-12-28,11:24:00,2021-12-28
28 December 2021 - 08:22 PM,14.17,120.41,62,1.5,Nasugbu ,Batangas,2021-12-28T08:22:00,2021-12-28,08:22:00,2021-12-28
29 June 2021 - 11:35 PM,5.95,124.79,27,1.8,Kiamba ,Sarangani,2021-06-29T11:35:00,2021-06-29,11:35:00,2021-06-29
28 October 2021 - 04:11 PM,16.81,121.46,27,1.5,Alfonso Lista ,Ifugao,2021-10-28T04:11:00,2021-10-28,04:11:00,2021-10-28
28 October 2021 - 04:09 PM,16.81,121.5,29,1.9,Alfonso Lista ,Ifugao,2021-10-28T04:09:00,2021-10-28,04:09:00,2021-10-28
28 October 2021 - 03:56 PM,16.8,121.49,29,1.6,Alfonso Lista ,Ifugao,2021-10-28T03:56:00,2021-10-28,03:56:00,2021-10-28
29 August 2021 - 01:50 AM,16.22,119.87,31,1.5,Agno ,Pangasinan,2021-08-29T01:50:00,2021-08-29,01:50:00,2021-08-29
29 August 2021 - 12:10 AM,13.8,120.64,3,1.9,Calatagan ,Batangas,2021-08-29T12:10:00,2021-08-29,12:10:00,2021-08-29
28 August 2021 - 11:18 PM,13.53,120.58,86,1.8,Paluan ,Occidental Mindoro,2021-08-28T11:18:00,2021-08-28,11:18:00,2021-08-28
28 August 2021 - 10:57 PM,16.41,120.79,13,1.6,Itogon ,Benguet,2021-08-28T10:57:00,2021-08-28,10:57:00,2021-08-28
29 July 2021 - 08:11 AM,13.64,120.66,90,1.8,Calatagan ,Batangas,2021-07-29T08:11:00,2021-07-29,08:11:00,2021-07-29
29 July 2021 - 04:13 AM,13.72,120.57,100,1.9,Calatagan ,Batangas,2021-07-29T04:13:00,2021-07-29,04:13:00,2021-07-29
29 March 2021 - 08:43 PM,15.61,119.73,35,2.0,Candelaria ,Zambales,2021-03-29T08:43:00,2021-03-29,08:43:00,2021-03-29
29 March 2021 - 06:50 PM,13.28,121.01,12,2.0,Baco ,Oriental Mindoro,2021-03-29T06:50:00,2021-03-29,06:50:00,2021-03-29
26 January 2021 - 06:11 AM,13.9,120.88,30,1.5,Agoncillo ,Batangas,2021-01-26T06:11:00,2021-01-26,06:11:00,2021-01-26
26 January 2021 - 04:26 AM,10.74,123.03,7,2.0,City Of Talisay ,Negros Occidental,2021-01-26T04:26:00,2021-01-26,04:26:00,2021-01-26
30 May 2021 - 03:02 AM,16.99,120.29,23,2.0,Tagudin ,Ilocos Sur,2021-05-30T03:02:00,2021-05-30,03:02:00,2021-05-30
29 May 2021 - 11:05 PM,9.62,126.22,33,2.0,General Luna ,Surigao Del Norte,2021-05-29T11:05:00,2021-05-29,11:05:00,2021-05-29
29 May 2021 - 09:55 PM,9.52,126.35,23,1.8,Cortes ,Surigao Del Sur,2021-05-29T09:55:00,2021-05-29,09:55:00,2021-05-29
28 September 2021 - 08:42 PM,14.07,120.56,124,2.0,Nasugbu ,Batangas,2021-09-28T08:42:00,2021-09-28,08:42:00,2021-09-28
28 September 2021 - 08:39 PM,18.15,121.7,37,1.8,Gattaran ,Cagayan,2021-09-28T08:39:00,2021-09-28,08:39:00,2021-09-28
28 September 2021 - 08:39 PM,13.1,121.38,37,2.0,Pola ,Oriental Mindoro,2021-09-28T08:39:00,2021-09-28,08:39:00,2021-09-28
28 September 2021 - 08:38 PM,13.16,121.23,12,2.0,Victoria ,Oriental Mindoro,2021-09-28T08:38:00,2021-09-28,08:38:00,2021-09-28
28 September 2021 - 07:53 PM,5.82,125.29,18,2.0,Glan ,Sarangani,2021-09-28T07:53:00,2021-09-28,07:53:00,2021-09-28
